Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR39146896_1	(1, 4.460909164514092e-05)	(2, 0.22904538105197608)	(3, 0.0)	(4, 0.013427336585187417)	(5, 0.0)	(6, 0.0006245272830319729)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009367909245479593)	(15, 0.0023062900380537853)	(20, 0.000530848190577177)	(25, 0.00020074091240313417)	(30, 0.0026542409528858848)	(35, 0.0036713282423950977)	(40, 0.00030780273235147236)	(45, 8.029636496125366e-05)	(50, 0.001164297291938178)	(55, 0.00011598363827736639)	(60, 0.0002185845490611905)	(65, 4.460909164514092e-06)	(70, 0.001159836382773664)	(75, 0.0008341900137641352)	(80, 0.002609631861240744)	(85, 0.0007672763762964238)	(90, 0.0010037045620156708)	(95, 0.0005130045539191206)	(100, 4.460909164514092e-06)	(105, 0.00018289727574507777)	(110, 4.014818248062683e-05)	(115, 0.01415892568816773)	(120, 0.0011419927461156075)	(125, 0.0011107663819640088)	(130, 0.0009590954703705298)	(135, 0.0003791772789836978)	(140, 0.0006512927380190575)	(145, 0.00035241182399661325)	(150, 0.0)
SRR39146896_2	(1, 0.01686223664186327)	(2, 0.14207995688977382)	(3, 0.010260091078382412)	(4, 0.014185691143154811)	(5, 0.002074322761499053)	(6, 0.004951609172610643)	(7, 0.008854904691560472)	(8, 0.004304777343756099)	(9, 0.006869800113351701)	(10, 0.009238542879708685)	(15, 0.005495840090681362)	(20, 0.00400143552056914)	(25, 0.005116662811697663)	(30, 0.0029932700493889557)	(35, 0.017674122109804832)	(40, 0.004964991900104184)	(45, 0.007396187394764365)	(50, 0.009434822882947305)	(55, 0.008025175586960852)	(60, 0.006031149190423052)	(65, 0.003938982792265943)	(70, 0.009836304707753573)	(75, 0.0069679401149710125)	(80, 0.004389534617881867)	(85, 0.004108497340517479)	(90, 0.0027836073186567932)	(95, 0.002118931853144194)	(100, 0.002658701862050399)	(105, 0.004046044612214281)	(110, 0.004005896429733655)	(115, 0.007186524664032202)	(120, 0.0037828509715079504)	(125, 0.003002191867717984)	(130, 0.0058660955513360315)	(135, 0.0030735664143502093)	(140, 0.007302508302309568)	(145, 0.006365717377761609)	(150, 0.0072489773923354)
SRR39146897_1	(1, 1.925945841632555e-05)	(2, 0.2363135547683145)	(3, 0.0)	(4, 0.012788280388440165)	(5, 0.0)	(6, 0.0008666756287346498)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0011016410214138214)	(15, 0.0025807674277876233)	(20, 0.0006047469942726223)	(25, 0.00020800215089631594)	(30, 0.0027232874200684327)	(35, 0.004017523025645509)	(40, 0.0003235589013942692)	(45, 0.00010014918376489286)	(50, 0.001255716688744426)	(55, 9.244540039836263e-05)	(60, 0.00021185404257958104)	(65, 1.1555675049795329e-05)	(70, 0.0012826799305272816)	(75, 0.0009514172457664821)	(80, 0.0029582528127476042)	(85, 0.000805045361802408)	(90, 0.000986084270915868)	(95, 0.0006471178027885384)	(100, 3.851891683265109e-06)	(105, 0.00020415025921305082)	(110, 4.6222700199181316e-05)	(115, 0.014837486763937202)	(120, 0.0013674215475591141)	(125, 0.0013635696558758489)	(130, 0.0010554183212146402)	(135, 0.00046222700199181313)	(140, 0.0006702291528881291)	(145, 0.00041985619347589695)	(150, 0.0)
SRR39146897_2	(1, 0.01908612329057862)	(2, 0.1447348299986865)	(3, 0.011651972341876957)	(4, 0.014926080272652301)	(5, 0.0020029836752978574)	(6, 0.00597043210906092)	(7, 0.00978380487549338)	(8, 0.005373388898154828)	(9, 0.00770378336653022)	(10, 0.010142030802037034)	(15, 0.005974284000744186)	(20, 0.004271747876741006)	(25, 0.0059627283256943895)	(30, 0.003316478739291259)	(35, 0.019012937348596583)	(40, 0.0052385726892405496)	(45, 0.007657560666331039)	(50, 0.010211364852335807)	(55, 0.008816980062993836)	(60, 0.006128359668074791)	(65, 0.004314118685256923)	(70, 0.010519516186997016)	(75, 0.007318594198203709)	(80, 0.004872642979330364)	(85, 0.0045375284028863)	(90, 0.0029967717295802552)	(95, 0.002588471211154154)	(100, 0.0032471446889924876)	(105, 0.004194710043075704)	(110, 0.004421971652388347)	(115, 0.007757709850095931)	(120, 0.004129227884460198)	(125, 0.003385812789590032)	(130, 0.00597813589242745)	(135, 0.003281811714141873)	(140, 0.007337853656620034)	(145, 0.006709995312247821)	(150, 0.008358604952685289)
SRR39146898_1	(1, 0.0)	(2, 0.2330662702639894)	(3, 0.0)	(4, 0.0131130510736948)	(5, 0.0)	(6, 0.0008013531211702379)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0008960584900358114)	(15, 0.0026991030126688464)	(20, 0.00046988433014073035)	(25, 0.00022219336541538413)	(30, 0.0028083784382829696)	(35, 0.0038574225241785535)	(40, 0.00031325622009382027)	(45, 0.00011291793980126078)	(50, 0.0012420973378138686)	(55, 0.00011656045398839822)	(60, 0.0002476909647253462)	(65, 1.0927542561412334e-05)	(70, 0.001220242252691044)	(75, 0.0010454015717084465)	(80, 0.002790165867347283)	(85, 0.0007357878658017638)	(90, 0.0009944063730885223)	(95, 0.0005973723266905409)	(100, 1.0927542561412334e-05)	(105, 0.0001457005674854978)	(110, 4.371017024564934e-05)	(115, 0.015269419472480167)	(120, 0.001245739852001006)	(125, 0.0011692470540711198)	(130, 0.0010745416852055462)	(135, 0.00046988433014073035)	(140, 0.000721217809053214)	(145, 0.00042253164570794357)	(150, 0.0)
SRR39146898_2	(1, 0.017265517247031487)	(2, 0.14260443042643095)	(3, 0.011182518554511954)	(4, 0.015243921873170205)	(5, 0.0023312090797679647)	(6, 0.005172370145735171)	(7, 0.009652662595914229)	(8, 0.004571355304857493)	(9, 0.007230390661467827)	(10, 0.00990763858901385)	(15, 0.005580331734694566)	(20, 0.0042216739428922985)	(25, 0.005685964646121551)	(30, 0.0033001178535465247)	(35, 0.01765890877924233)	(40, 0.0049683893512554745)	(45, 0.007361521172204775)	(50, 0.009911281103200987)	(55, 0.00852348319790162)	(60, 0.006163134004636556)	(65, 0.0044292972515591325)	(70, 0.010031484071376523)	(75, 0.0070009122676781685)	(80, 0.004414727194810583)	(85, 0.004094185946342487)	(90, 0.002983219119265567)	(95, 0.002440484505382088)	(100, 0.003037856832072629)	(105, 0.004130611088213863)	(110, 0.0043382343968806966)	(115, 0.007405231342450425)	(120, 0.003999480577476914)	(125, 0.0030997795732539656)	(130, 0.005857162812917011)	(135, 0.0032746202542365626)	(140, 0.007244960718216377)	(145, 0.006334332171432016)	(150, 0.007467154083631761)
SRR39146899_1	(1, 0.0)	(2, 0.22813309864760878)	(3, 0.0)	(4, 0.012825162083513917)	(5, 0.0)	(6, 0.0009287186336337664)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0008093119521665679)	(15, 0.002503117841127199)	(20, 0.0005483862408123193)	(25, 0.00014594149957102042)	(30, 0.002573877356070724)	(35, 0.0037325644132709473)	(40, 0.00030957287787792214)	(45, 0.00012825162083513917)	(50, 0.001034857906049054)	(55, 8.402692399543602e-05)	(60, 0.00019016619641072362)	(65, 0.0)	(70, 0.0011807994056200744)	(75, 0.0009508309820536181)	(80, 0.0027286637950096853)	(85, 0.0006899052706993694)	(90, 0.0010525477847849352)	(95, 0.0006103008163879036)	(100, 4.422469683970317e-06)	(105, 0.00016363137830690172)	(110, 3.9802227155732845e-05)	(115, 0.014886032956244084)	(120, 0.0011454196481483119)	(125, 0.0010658151938368462)	(130, 0.0009950556788933212)	(135, 0.00042455708966115035)	(140, 0.0007473973765909835)	(145, 0.0003051504081939518)	(150, 0.0)
SRR39146899_2	(1, 0.016540036618048985)	(2, 0.1439513882132338)	(3, 0.010569702544689056)	(4, 0.013908667156086645)	(5, 0.001746875525168275)	(6, 0.005550199453382748)	(7, 0.009375635730017071)	(8, 0.0042455708966115035)	(9, 0.0069875021006731)	(10, 0.009729433304734697)	(15, 0.005837659982840818)	(20, 0.004135009154512246)	(25, 0.005704985892321708)	(30, 0.003002856915415845)	(35, 0.017574894524098036)	(40, 0.0050195030913063095)	(45, 0.007182090766767795)	(50, 0.00964540638073926)	(55, 0.008190413854713027)	(60, 0.005775745407265233)	(65, 0.004121741745460335)	(70, 0.009875374804305717)	(75, 0.006775223555842525)	(80, 0.004360555108394732)	(85, 0.0041526990332481275)	(90, 0.0028878727036326167)	(95, 0.0022687269478767723)	(100, 0.0029232524611043794)	(105, 0.004121741745460335)	(110, 0.004272105714715325)	(115, 0.007177668297083824)	(120, 0.004090784457672542)	(125, 0.0028878727036326167)	(130, 0.005603269089590391)	(135, 0.003020546794151726)	(140, 0.007447438947806013)	(145, 0.006226837315030206)	(150, 0.006876940358573841)
SRR39146900_1	(1, 1.8882007655898827e-05)	(2, 0.23177664397615808)	(3, 0.0)	(4, 0.013009703274914288)	(5, 0.0)	(6, 0.00064198826030056)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009289947766702222)	(15, 0.002605717056514038)	(20, 0.0005362490174275266)	(25, 0.0001397268566536513)	(30, 0.002870065163696621)	(35, 0.003787730735773304)	(40, 0.00037764015311797646)	(45, 0.00010573924287303341)	(50, 0.0012311068991646035)	(55, 0.00010573924287303341)	(60, 0.00021903128880842635)	(65, 7.552803062359529e-06)	(70, 0.0012160012930398842)	(75, 0.0009365475797325816)	(80, 0.002828524746853644)	(85, 0.0007930443215477507)	(90, 0.0010649452317926936)	(95, 0.0006117770480511219)	(100, 3.7764015311797646e-06)	(105, 0.00017749087196544897)	(110, 6.0422424498876234e-05)	(115, 0.015528563096211192)	(120, 0.0012537653083516819)	(125, 0.001057392428730334)	(130, 0.0009818643981067388)	(135, 0.0004040749638362348)	(140, 0.0006948578817370767)	(145, 0.0003512053423997181)	(150, 0.0)
SRR39146900_2	(1, 0.017201508974523827)	(2, 0.14257803980969203)	(3, 0.011064856486356711)	(4, 0.014727965971601082)	(5, 0.002133666865116567)	(6, 0.004852675967565998)	(7, 0.009403239812637614)	(8, 0.004588327860383414)	(9, 0.007156280901585655)	(10, 0.009637376707570759)	(15, 0.006083782866730602)	(20, 0.004188029298078359)	(25, 0.00579299994882976)	(30, 0.0032930221351887548)	(35, 0.018088963334351074)	(40, 0.005071707256374424)	(45, 0.007431958213361778)	(50, 0.009595836290727782)	(55, 0.008549773066590988)	(60, 0.006129099685104758)	(65, 0.004267333730233134)	(70, 0.01011320330049941)	(75, 0.006676677907125825)	(80, 0.004452377405260942)	(85, 0.004146488881235382)	(90, 0.003017344823412632)	(95, 0.0022771701233013984)	(100, 0.0030286740280061715)	(105, 0.004240898919514876)	(110, 0.004459930208323302)	(115, 0.007450840221017676)	(120, 0.00416914729042246)	(125, 0.003183506490784542)	(130, 0.005891186388640433)	(135, 0.0031419660739415646)	(140, 0.007243138136802789)	(145, 0.00625372093563369)	(150, 0.007571685070015429)
