Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR39146896_1	(17.0, 1.0)	(18.0, 132.0)	(19.0, 619.0)	(20.0, 2023.0)	(21.0, 3460.0)	(22.0, 4567.0)	(23.0, 5003.0)	(24.0, 5701.0)	(25.0, 6596.0)	(26.0, 7599.0)	(27.0, 8639.0)	(28.0, 10690.0)	(29.0, 12738.0)	(30.0, 16176.0)	(31.0, 19995.0)	(32.0, 26673.0)	(33.0, 35237.0)	(34.0, 52650.0)	(35.0, 81620.0)	(36.0, 150768.0)	(37.0, 291355.0)	(38.0, 811106.0)	(39.0, 2688235.0)	(40.0, 241808.0)										
SRR39146896_2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 2.0)	(14.0, 4.0)	(15.0, 26.0)	(16.0, 368.0)	(17.0, 2004.0)	(18.0, 4907.0)	(19.0, 6925.0)	(20.0, 8895.0)	(21.0, 9357.0)	(22.0, 9075.0)	(23.0, 8732.0)	(24.0, 9476.0)	(25.0, 9853.0)	(26.0, 11388.0)	(27.0, 12624.0)	(28.0, 15006.0)	(29.0, 17282.0)	(30.0, 21470.0)	(31.0, 26029.0)	(32.0, 34223.0)	(33.0, 45238.0)	(34.0, 67335.0)	(35.0, 104817.0)	(36.0, 195069.0)	(37.0, 380852.0)	(38.0, 994317.0)	(39.0, 2352555.0)	(40.0, 135560.0)				
SRR39146897_1	(17.0, 13.0)	(18.0, 168.0)	(19.0, 797.0)	(20.0, 2352.0)	(21.0, 4061.0)	(22.0, 5402.0)	(23.0, 5925.0)	(24.0, 6558.0)	(25.0, 7571.0)	(26.0, 8721.0)	(27.0, 10002.0)	(28.0, 12061.0)	(29.0, 14465.0)	(30.0, 17792.0)	(31.0, 22251.0)	(32.0, 29453.0)	(33.0, 38719.0)	(34.0, 56646.0)	(35.0, 87743.0)	(36.0, 159217.0)	(37.0, 301621.0)	(38.0, 852309.0)	(39.0, 3205825.0)	(40.0, 342582.0)										
SRR39146897_2	(10.0, 1.0)	(11.0, 1.0)	(12.0, 2.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 26.0)	(16.0, 399.0)	(17.0, 2166.0)	(18.0, 5487.0)	(19.0, 8112.0)	(20.0, 9950.0)	(21.0, 10404.0)	(22.0, 10294.0)	(23.0, 9719.0)	(24.0, 10333.0)	(25.0, 10975.0)	(26.0, 12540.0)	(27.0, 13778.0)	(28.0, 16353.0)	(29.0, 18929.0)	(30.0, 23087.0)	(31.0, 28139.0)	(32.0, 36990.0)	(33.0, 48040.0)	(34.0, 71202.0)	(35.0, 110293.0)	(36.0, 204408.0)	(37.0, 399831.0)	(38.0, 1062787.0)	(39.0, 2865168.0)	(40.0, 202837.0)			
SRR39146898_1	(17.0, 10.0)	(18.0, 127.0)	(19.0, 728.0)	(20.0, 2238.0)	(21.0, 4002.0)	(22.0, 5007.0)	(23.0, 5622.0)	(24.0, 6851.0)	(25.0, 7467.0)	(26.0, 8952.0)	(27.0, 10164.0)	(28.0, 12422.0)	(29.0, 14534.0)	(30.0, 18195.0)	(31.0, 22727.0)	(32.0, 30288.0)	(33.0, 39956.0)	(34.0, 59017.0)	(35.0, 90277.0)	(36.0, 165442.0)	(37.0, 315787.0)	(38.0, 899369.0)	(39.0, 3418179.0)	(40.0, 353352.0)										
SRR39146898_2	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 3.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 20.0)	(16.0, 420.0)	(17.0, 2131.0)	(18.0, 5132.0)	(19.0, 7581.0)	(20.0, 9511.0)	(21.0, 10063.0)	(22.0, 9596.0)	(23.0, 9332.0)	(24.0, 10190.0)	(25.0, 10582.0)	(26.0, 12049.0)	(27.0, 13237.0)	(28.0, 15906.0)	(29.0, 18417.0)	(30.0, 22816.0)	(31.0, 27508.0)	(32.0, 36407.0)	(33.0, 48058.0)	(34.0, 71522.0)	(35.0, 110802.0)	(36.0, 207325.0)	(37.0, 412838.0)	(38.0, 1129918.0)	(39.0, 3081639.0)	(40.0, 207704.0)		
SRR39146899_1	(16.0, 1.0)	(17.0, 7.0)	(18.0, 165.0)	(19.0, 693.0)	(20.0, 1895.0)	(21.0, 3346.0)	(22.0, 4350.0)	(23.0, 4732.0)	(24.0, 5601.0)	(25.0, 6090.0)	(26.0, 7254.0)	(27.0, 8468.0)	(28.0, 10398.0)	(29.0, 12347.0)	(30.0, 15470.0)	(31.0, 19063.0)	(32.0, 25923.0)	(33.0, 34172.0)	(34.0, 49851.0)	(35.0, 77893.0)	(36.0, 144336.0)	(37.0, 279604.0)	(38.0, 799113.0)	(39.0, 2765594.0)	(40.0, 245994.0)									
SRR39146899_2	(8.0, 1.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 4.0)	(14.0, 4.0)	(15.0, 19.0)	(16.0, 401.0)	(17.0, 2099.0)	(18.0, 5017.0)	(19.0, 6807.0)	(20.0, 8428.0)	(21.0, 8718.0)	(22.0, 8310.0)	(23.0, 8057.0)	(24.0, 8616.0)	(25.0, 9247.0)	(26.0, 10486.0)	(27.0, 11538.0)	(28.0, 13909.0)	(29.0, 16059.0)	(30.0, 20062.0)	(31.0, 23961.0)	(32.0, 32188.0)	(33.0, 42379.0)	(34.0, 62824.0)	(35.0, 97901.0)	(36.0, 184238.0)	(37.0, 365473.0)	(38.0, 977440.0)	(39.0, 2452953.0)	(40.0, 145219.0)	
SRR39146900_1	(16.0, 1.0)	(17.0, 8.0)	(18.0, 155.0)	(19.0, 694.0)	(20.0, 2169.0)	(21.0, 3710.0)	(22.0, 4979.0)	(23.0, 5413.0)	(24.0, 6248.0)	(25.0, 6931.0)	(26.0, 8302.0)	(27.0, 9497.0)	(28.0, 11495.0)	(29.0, 13527.0)	(30.0, 17374.0)	(31.0, 21116.0)	(32.0, 28269.0)	(33.0, 37143.0)	(34.0, 54964.0)	(35.0, 84521.0)	(36.0, 155303.0)	(37.0, 295363.0)	(38.0, 849612.0)	(39.0, 3324652.0)	(40.0, 354601.0)									
SRR39146900_2	(7.0, 1.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 4.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 25.0)	(16.0, 361.0)	(17.0, 2009.0)	(18.0, 4787.0)	(19.0, 6519.0)	(20.0, 8398.0)	(21.0, 8822.0)	(22.0, 8596.0)	(23.0, 8134.0)	(24.0, 8857.0)	(25.0, 9333.0)	(26.0, 10701.0)	(27.0, 11981.0)	(28.0, 14111.0)	(29.0, 16383.0)	(30.0, 20187.0)	(31.0, 24646.0)	(32.0, 32429.0)	(33.0, 42414.0)	(34.0, 63821.0)	(35.0, 99757.0)	(36.0, 186730.0)	(37.0, 372157.0)	(38.0, 1039768.0)	(39.0, 3065987.0)	(40.0, 229124.0)
