Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR39146896_1	(1, 38.59946009616382)	(2, 38.54964735397827)	(3, 38.984104665419544)	(4, 38.904955646295406)	(5, 38.772503223564485)	(6, 38.70369994497469)	(7, 38.629139417017164)	(8, 38.5758038948644)	(9, 38.53322451688911)	(10, 38.569581461889)	(15, 39.09426066118258)	(20, 39.26697582254146)	(25, 39.04562925696198)	(30, 38.97408287610873)	(35, 39.024996659894256)	(40, 39.03575423156267)	(45, 38.97721916290594)	(50, 38.975582812206206)	(55, 38.96690286437208)	(60, 38.926439830922625)	(65, 38.91741487637371)	(70, 38.850271145211295)	(75, 38.815422968909026)	(80, 38.79911656154906)	(85, 38.73572570404857)	(90, 38.72578563859365)	(95, 38.68451134420353)	(100, 38.64983473446773)	(105, 38.561963567308766)	(110, 38.53063014133722)	(115, 38.427599288128114)	(120, 38.42079087012487)	(125, 38.30708131412139)	(130, 38.2048310307979)	(135, 38.03135537364464)	(140, 37.93303577582236)	(145, 37.66887527766371)	(150, 37.587086203277835)
SRR39146896_2	(1, 37.58927740185944)	(2, 38.34224496591977)	(3, 38.67816124000784)	(4, 38.71996888069767)	(5, 38.74366656845232)	(6, 38.7559577114733)	(7, 38.76071794764275)	(8, 38.7677528013952)	(9, 38.840428595230705)	(10, 38.89635599482624)	(15, 38.985118719290824)	(20, 39.009480011892784)	(25, 38.68966993956137)	(30, 38.61080106553276)	(35, 38.570478818376536)	(40, 38.5755598831331)	(45, 38.570637448306435)	(50, 38.54736140568601)	(55, 38.52764275968792)	(60, 38.520012196125656)	(65, 38.475954562071436)	(70, 38.431135272386456)	(75, 38.40145782511497)	(80, 38.35139411217982)	(85, 38.31986485229595)	(90, 38.25852440708384)	(95, 38.21248505874237)	(100, 38.11385284040584)	(105, 38.027876756678154)	(110, 37.95792800583309)	(115, 37.90938697963216)	(120, 37.788913614717075)	(125, 37.56975673101008)	(130, 37.49123295291444)	(135, 37.32770779974355)	(140, 37.189604654155744)	(145, 36.988568072693184)	(150, 36.88177676227659)
SRR39146897_1	(1, 38.66423984650982)	(2, 38.62595473950234)	(3, 39.04980303351878)	(4, 38.98692013141114)	(5, 38.86195552066598)	(6, 38.80249579469726)	(7, 38.72823401936808)	(8, 38.6910386125178)	(9, 38.6491831871091)	(10, 38.67741293087742)	(15, 39.16334462836371)	(20, 39.3177978581171)	(25, 39.11419217935024)	(30, 39.045100721189684)	(35, 39.08652642956219)	(40, 39.093821527221124)	(45, 39.037642457399045)	(50, 39.03171054420682)	(55, 39.02337951879858)	(60, 38.98358154281358)	(65, 38.974268593177456)	(70, 38.90770174186393)	(75, 38.87423188464972)	(80, 38.85844521473719)	(85, 38.80046214996416)	(90, 38.78994486787434)	(95, 38.74882669453382)	(100, 38.718308850067814)	(105, 38.6325281467355)	(110, 38.60255434345085)	(115, 38.502274349444384)	(120, 38.49413553343114)	(125, 38.38734823065282)	(130, 38.287412595762845)	(135, 38.124556464302394)	(140, 38.03558762726168)	(145, 37.78224971274518)	(150, 37.706295570286045)
SRR39146897_2	(1, 37.717279239420876)	(2, 38.47864414953506)	(3, 38.79295080710612)	(4, 38.806489435994465)	(5, 38.85140441896718)	(6, 38.86164428781797)	(7, 38.86277982548619)	(8, 38.87002022628323)	(9, 38.93119635518601)	(10, 38.984282741175605)	(15, 39.06562729789414)	(20, 39.07545670916715)	(25, 38.776874012712014)	(30, 38.7022224259445)	(35, 38.66309776062573)	(40, 38.667946675952294)	(45, 38.66132850973778)	(50, 38.634485678088936)	(55, 38.61441516535979)	(60, 38.60571281759329)	(65, 38.56743787957985)	(70, 38.52341021837529)	(75, 38.496511919486224)	(80, 38.44715770838637)	(85, 38.41580015153342)	(90, 38.35836829246026)	(95, 38.315280107637264)	(100, 38.2191591551569)	(105, 38.1371938275747)	(110, 38.073967259691074)	(115, 38.02523435871974)	(120, 37.91437321825936)	(125, 37.705752222445206)	(130, 37.62879412293775)	(135, 37.46942195046698)	(140, 37.338884499872314)	(145, 37.14644776623023)	(150, 37.04425399835986)
SRR39146898_1	(1, 38.69753746007122)	(2, 38.6412675366569)	(3, 39.059181567129805)	(4, 38.99652303808267)	(5, 38.87283491233288)	(6, 38.80926211222477)	(7, 38.73502475907956)	(8, 38.69681187124514)	(9, 38.64951455302799)	(10, 38.68341790947733)	(15, 39.171488948703015)	(20, 39.32911452483493)	(25, 39.129213200544264)	(30, 39.06379058603136)	(35, 39.10487129813559)	(40, 39.11322627862721)	(45, 39.05996142941727)	(50, 39.05444229192092)	(55, 39.046159870311925)	(60, 39.004628506352454)	(65, 38.996098102377594)	(70, 38.931031434351056)	(75, 38.89696766157692)	(80, 38.88092158522946)	(85, 38.823473308475606)	(90, 38.81189761693973)	(95, 38.77270307153187)	(100, 38.74097072638836)	(105, 38.65661687289064)	(110, 38.628093655596274)	(115, 38.528349961107054)	(120, 38.52179634958156)	(125, 38.41166354897807)	(130, 38.31434984855336)	(135, 38.15125948123677)	(140, 38.059654547597006)	(145, 37.80985981237774)	(150, 37.7310742703179)
SRR39146898_2	(1, 37.771882813762076)	(2, 38.55753742728859)	(3, 38.86872907034114)	(4, 38.89035868383578)	(5, 38.90358137458651)	(6, 38.91015611269429)	(7, 38.9100162401495)	(8, 38.91462001383063)	(9, 38.97227809940166)	(10, 39.019708369386635)	(15, 39.094116046495245)	(20, 39.106687892811)	(25, 38.83709536448181)	(30, 38.764016840800096)	(35, 38.72070632721106)	(40, 38.72566495462429)	(45, 38.7181366791526)	(50, 38.69461521663944)	(55, 38.676168140640385)	(60, 38.66685088075083)	(65, 38.62893493067294)	(70, 38.586063995696)	(75, 38.55945324405045)	(80, 38.5121604425509)	(85, 38.47830676999508)	(90, 38.42386713710952)	(95, 38.381394620334376)	(100, 38.28661683828676)	(105, 38.206568800809656)	(110, 38.1410429574447)	(115, 38.09814521356334)	(120, 37.98732135516826)	(125, 37.778908713677076)	(130, 37.70560187720611)	(135, 37.55241514171293)	(140, 37.4238880087158)	(145, 37.23213426015893)	(150, 37.13197466339982)
SRR39146899_1	(1, 38.65607249312306)	(2, 38.598855907092755)	(3, 39.02554772287036)	(4, 38.95117239671322)	(5, 38.81971802333295)	(6, 38.752597316445396)	(7, 38.674569030329295)	(8, 38.626694911506384)	(9, 38.578950813292174)	(10, 38.609073581050595)	(15, 39.126372248118244)	(20, 39.29210783750077)	(25, 39.08050265790428)	(30, 39.013383985352775)	(35, 39.058774798998755)	(40, 39.06923765467588)	(45, 39.015166152186026)	(50, 39.00882548050133)	(55, 39.0026825816609)	(60, 38.962661530705205)	(65, 38.95199002290839)	(70, 38.88565731166913)	(75, 38.85181427396315)	(80, 38.83487196950265)	(85, 38.776917361731485)	(90, 38.76477272928294)	(95, 38.72731299586941)	(100, 38.690988510423765)	(105, 38.60694195066292)	(110, 38.577023235655716)	(115, 38.47475565854996)	(120, 38.46555771765185)	(125, 38.355054352152415)	(130, 38.25124695955209)	(135, 38.08302638445413)	(140, 37.9902630484968)	(145, 37.72833290582793)	(150, 37.6487462298446)
SRR39146899_2	(1, 37.60842038227828)	(2, 38.44662432889022)	(3, 38.76362872482509)	(4, 38.7913952007359)	(5, 38.81848459653809)	(6, 38.83045003051504)	(7, 38.83565306609823)	(8, 38.83989244553729)	(9, 38.90365561344077)	(10, 38.95211102167895)	(15, 39.03293501623047)	(20, 39.049454267240996)	(25, 38.7537629025553)	(30, 38.67716935405408)	(35, 38.64001928196782)	(40, 38.64495254690029)	(45, 38.641615793523734)	(50, 38.619065178358206)	(55, 38.599291874154204)	(60, 38.5914400445785)	(65, 38.55401392193457)	(70, 38.509849282233176)	(75, 38.48187052777754)	(80, 38.43145808825481)	(85, 38.4027763380182)	(90, 38.342089086229315)	(95, 38.298380403152336)	(100, 38.20202274918405)	(105, 38.11926923110942)	(110, 38.0522796062233)	(115, 38.0075301391309)	(120, 37.89096179870687)	(125, 37.67814052839668)	(130, 37.600323636331474)	(135, 37.439797539337874)	(140, 37.305603976684736)	(145, 37.10720597210306)	(150, 36.99967937094791)
SRR39146900_1	(1, 38.69908669617169)	(2, 38.650386222025595)	(3, 39.0665143266289)	(4, 38.99686048858705)	(5, 38.87390349821291)	(6, 38.81400372768595)	(7, 38.740327644373245)	(8, 38.701007751630605)	(9, 38.658185624107944)	(10, 38.68843052185904)	(15, 39.176275437132645)	(20, 39.333068456529936)	(25, 39.13905197593601)	(30, 39.07530971685108)	(35, 39.11749083797783)	(40, 39.126733731781464)	(45, 39.07441727764124)	(50, 39.0712627739142)	(55, 39.06226663018663)	(60, 39.025709854916315)	(65, 39.016925038618425)	(70, 38.95611802538762)	(75, 38.92271953024586)	(80, 38.909426672384136)	(85, 38.85149871215267)	(90, 38.8402631623171)	(95, 38.804707888732864)	(100, 38.77250568206815)	(105, 38.69100534795102)	(110, 38.66326110776585)	(115, 38.56735229124665)	(120, 38.55912804399206)	(125, 38.454272328021254)	(130, 38.36101379009665)	(135, 38.202594727728055)	(140, 38.11390284111904)	(145, 37.86914496793552)	(150, 37.79361474699903)
SRR39146900_2	(1, 37.94617645953671)	(2, 38.58444269848814)	(3, 38.922069989182496)	(4, 38.89710948562201)	(5, 38.95003084375951)	(6, 38.97699661653305)	(7, 38.96845552918998)	(8, 38.97033882063358)	(9, 39.031144927528025)	(10, 39.07609822949079)	(15, 39.15158056565586)	(20, 39.157814347191405)	(25, 38.909268290103924)	(30, 38.84376433970469)	(35, 38.8025186332372)	(40, 38.80746881589231)	(45, 38.80016835198026)	(50, 38.77399977756995)	(55, 38.7556170857245)	(60, 38.74790907255921)	(65, 38.707973701895014)	(70, 38.666917419728335)	(75, 38.6405667472362)	(80, 38.59693986854724)	(85, 38.56515593611613)	(90, 38.51112038847087)	(95, 38.46958012268396)	(100, 38.37994912054218)	(105, 38.303002295863315)	(110, 38.24227911874649)	(115, 38.199596415968365)	(120, 38.092412548453595)	(125, 37.89157135501252)	(130, 37.82020997925434)	(135, 37.670866440573505)	(140, 37.54659760383547)	(145, 37.36156797702135)	(150, 37.257206743067044)
