Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR39146896_1	(1, 38.80152834354122)	(2, 38.71274905985085)	(3, 39.13966728280961)	(4, 39.05853898794175)	(5, 38.926312934945734)	(6, 38.857009485510986)	(7, 38.78456961739261)	(8, 38.73432202063982)	(9, 38.68973536757079)	(10, 38.721924776479185)	(15, 39.229112881636816)	(20, 39.393507761662775)	(25, 39.28158313583924)	(30, 39.24075415896488)	(35, 39.29019164225139)	(40, 39.30662093073384)	(45, 39.26087246979663)	(50, 39.26591435333378)	(55, 39.264662707283186)	(60, 39.235610043970524)	(65, 39.23417999840807)	(70, 39.18062902875991)	(75, 39.158798554870465)	(80, 39.15256499410383)	(85, 39.10391513517419)	(90, 39.10648914204884)	(95, 39.078435809210895)	(100, 39.059496131065345)	(105, 38.99176224215512)	(110, 38.97893414051142)	(115, 38.89901221253113)	(120, 38.91145821288375)	(125, 38.824518100723836)	(130, 38.754905241053784)	(135, 38.62261014772306)	(140, 38.57283154407762)	(145, 38.360677073422764)	(150, 38.2600722288958)
SRR39146896_2	(1, 37.927032605357546)	(2, 38.680688148616)	(3, 38.99662461829075)	(4, 39.02841295870297)	(5, 39.03615990358039)	(6, 39.04028091482741)	(7, 39.048647633837255)	(8, 39.05149015813048)	(9, 39.11377954444052)	(10, 39.161399984934434)	(15, 39.24098575145295)	(20, 39.258476268839196)	(25, 39.13135044240609)	(30, 39.09846421638785)	(35, 39.060963915800706)	(40, 39.07248381645182)	(45, 39.0707925193377)	(50, 39.049942620787405)	(55, 39.032279266535625)	(60, 39.02682867723062)	(65, 38.98957625344688)	(70, 38.952191595503294)	(75, 38.93120108955226)	(80, 38.89016109851848)	(85, 38.87046212097032)	(90, 38.8230042767877)	(95, 38.79193057010296)	(100, 38.71549107029334)	(105, 38.65388287049499)	(110, 38.609077956259014)	(115, 38.585526678072014)	(120, 38.5002417411922)	(125, 38.332592222204845)	(130, 38.298763049499904)	(135, 38.191696121477754)	(140, 38.12253739259612)	(145, 37.97129500210117)	(150, 37.83899936361439)
SRR39146897_1	(1, 38.85170763680896)	(2, 38.78037491339941)	(3, 39.19745693336952)	(4, 39.13122128749838)	(5, 39.00625880859557)	(6, 38.946632867222945)	(7, 38.87474214543387)	(8, 38.83976838873274)	(9, 38.79656405607704)	(10, 38.82156270302083)	(15, 39.29105215447488)	(20, 39.43829462594037)	(25, 39.33666366897315)	(30, 39.29815834572054)	(35, 39.338932211059344)	(40, 39.35337481209536)	(45, 39.31113729321506)	(50, 39.31490252222182)	(55, 39.31387782216075)	(60, 39.28599432313198)	(65, 39.28506284779082)	(70, 39.23307316875819)	(75, 39.21333549314983)	(80, 39.20835039254624)	(85, 39.16456908340119)	(90, 39.16556082648949)	(95, 39.138561223935355)	(100, 39.122892853945636)	(105, 39.057855730082494)	(110, 39.045750207005426)	(115, 38.96960985225337)	(120, 38.97874056611079)	(125, 38.90007812828313)	(130, 38.83143943238856)	(135, 38.70799310382229)	(140, 38.663184172953876)	(145, 38.458509649307004)	(150, 38.369571127870486)
SRR39146897_2	(1, 38.040949971271274)	(2, 38.80079397936924)	(3, 39.096368956357296)	(4, 39.10076983405639)	(5, 39.12916823691086)	(6, 39.13110265792163)	(7, 39.13479095930786)	(8, 39.13993716626694)	(9, 39.19075935511045)	(10, 39.236649509314915)	(15, 39.308721650476926)	(20, 39.3150365784514)	(25, 39.198835433016924)	(30, 39.16705277198776)	(35, 39.13103041149442)	(40, 39.14300425622899)	(45, 39.140350698189984)	(50, 39.116905918627516)	(55, 39.10041045552467)	(60, 39.09416533472746)	(65, 39.062163405772054)	(70, 39.02568297297531)	(75, 39.00671649795328)	(80, 38.967250744595376)	(85, 38.94722345399396)	(90, 38.902110559014524)	(95, 38.87503514190625)	(100, 38.79834609026108)	(105, 38.739817930591784)	(110, 38.69893746102286)	(115, 38.67513017029465)	(120, 38.59465018775515)	(125, 38.43494022420204)	(130, 38.400217785351664)	(135, 38.296687741118106)	(140, 38.22906908424023)	(145, 38.0851372759346)	(150, 37.95902581508878)
SRR39146898_1	(1, 38.87202182712507)	(2, 38.785589260041775)	(3, 39.19690676906106)	(4, 39.13344663325186)	(5, 39.00905017948154)	(6, 38.945125516518026)	(7, 38.87380835410457)	(8, 38.838018288731696)	(9, 38.78946559409745)	(10, 38.82005325673847)	(15, 39.29196010114862)	(20, 39.44260237681176)	(25, 39.33907091555175)	(30, 39.30219175439813)	(35, 39.34310522339628)	(40, 39.35805458539884)	(45, 39.317273338611926)	(50, 39.320643274116804)	(55, 39.31982245482554)	(60, 39.290166226693124)	(65, 39.29034225399959)	(70, 39.239318676748425)	(75, 39.218490099936766)	(80, 39.21235447255949)	(85, 39.16942636580958)	(90, 39.16957690846347)	(95, 39.142651719320455)	(100, 39.12529375040785)	(105, 39.06071385006892)	(110, 39.04983979294981)	(115, 38.972364808204176)	(120, 38.98424164291388)	(125, 38.90018581778571)	(130, 38.83367483477413)	(135, 38.709525548408564)	(140, 38.661614108110456)	(145, 38.458997298344016)	(150, 38.3644496858543)
SRR39146898_2	(1, 38.069649310254405)	(2, 38.85239903975117)	(3, 39.14362855610041)	(4, 39.160185765652265)	(5, 39.15674683307765)	(6, 39.15610523555633)	(7, 39.16095847059427)	(8, 39.16328185985672)	(9, 39.211403934428205)	(10, 39.25300100364991)	(15, 39.31902790628984)	(20, 39.32784699010516)	(25, 39.22089038515442)	(30, 39.188088288038486)	(35, 39.14811240844505)	(40, 39.159106776571505)	(45, 39.156198762094334)	(50, 39.13502786202098)	(55, 39.11915365567607)	(60, 39.11397502278318)	(65, 39.081309650319994)	(70, 39.04597350070359)	(75, 39.02657799697962)	(80, 38.98920080395827)	(85, 38.96621831463897)	(90, 38.924905772536405)	(95, 38.896162616171566)	(100, 38.82110638540413)	(105, 38.76334534136428)	(110, 38.720536231393986)	(115, 38.69991264315176)	(120, 38.61897691809403)	(125, 38.45703666058954)	(130, 38.423402472800774)	(135, 38.32106114195519)	(140, 38.25226485668605)	(145, 38.10403876101475)	(150, 37.98185064565695)
SRR39146899_1	(1, 38.84435320760807)	(2, 38.75296541370897)	(3, 39.17397323023184)	(4, 39.09637565896172)	(5, 38.96399227289005)	(6, 38.89749703447166)	(7, 38.821794558467566)	(8, 38.77525490704954)	(9, 38.725931075022935)	(10, 38.753309401240685)	(15, 39.253389781158454)	(20, 39.411637984990556)	(25, 39.303578213144796)	(30, 39.26619031745253)	(35, 39.30991682511922)	(40, 39.32706146040146)	(45, 39.28360146064854)	(50, 39.286013637352326)	(55, 39.286253715129476)	(60, 39.25640872354546)	(65, 39.254263360076635)	(70, 39.20168432450969)	(75, 39.179740825411116)	(80, 39.17319301345226)	(85, 39.128276094710955)	(90, 39.12730758182321)	(95, 39.10310070096665)	(100, 39.08160025825236)	(105, 39.01735220713975)	(110, 39.00456552818349)	(115, 38.925115082808546)	(120, 38.93400963509184)	(125, 38.85031116501026)	(130, 38.77696093413251)	(135, 38.65008774011712)	(140, 38.6017670273278)	(145, 38.3885879090775)	(150, 38.293993201701504)
SRR39146899_2	(1, 37.93226169280199)	(2, 38.76738657054702)	(3, 39.06554792004926)	(4, 39.08455848131935)	(5, 39.09687270306246)	(6, 39.10088711367316)	(7, 39.10879580061929)	(8, 39.10976329421022)	(9, 39.16344772531252)	(10, 39.205866954499825)	(15, 39.27768588371828)	(20, 39.28885433627418)	(25, 39.172032465600104)	(30, 39.13724359700361)	(35, 39.10260710798723)	(40, 39.113428330758325)	(45, 39.11249222101206)	(50, 39.09154719105625)	(55, 39.07348532353403)	(60, 39.068379133629456)	(65, 39.035108386684534)	(70, 38.99795232500092)	(75, 38.97789430775202)	(80, 38.93679436374509)	(85, 38.91761212306852)	(90, 38.87056879272471)	(95, 38.841255308585474)	(100, 38.76383311655691)	(105, 38.70438996790605)	(110, 38.65933081306004)	(115, 38.63855309398086)	(120, 38.55332360341775)	(125, 38.38881814747341)	(130, 38.35274016887816)	(135, 38.24760235532416)	(140, 38.17603780241678)	(145, 38.025372373766245)	(150, 37.892983410982026)
SRR39146900_1	(1, 38.86359911902859)	(2, 38.788809714074105)	(3, 39.19771493168574)	(4, 39.12774553179878)	(5, 39.00342799228176)	(6, 38.94344670317891)	(7, 38.872553062934884)	(8, 38.83541972830218)	(9, 38.793064494123605)	(10, 38.819202448009044)	(15, 39.29181951780459)	(20, 39.44205391077241)	(25, 39.34143746467343)	(30, 39.30560071725106)	(35, 39.347870652642236)	(40, 39.36364926106849)	(45, 39.32469251314142)	(50, 39.329018426696386)	(55, 39.32783989102338)	(60, 39.301004678012774)	(65, 39.30130650965778)	(70, 39.25282920174724)	(75, 39.23194646704291)	(80, 39.228458243404845)	(85, 39.184896216623095)	(90, 39.18442262711159)	(95, 39.16163755357509)	(100, 39.142755691197685)	(105, 39.081636611496364)	(110, 39.0706294543099)	(115, 38.99630902936586)	(120, 39.00632279510406)	(125, 38.9257910303661)	(130, 38.860377473836905)	(135, 38.738749666007045)	(140, 38.69195141630584)	(145, 38.49158379776423)	(150, 38.40220087895186)
SRR39146900_2	(1, 38.21956614107237)	(2, 38.857226499308084)	(3, 39.17715789268521)	(4, 39.14945407059466)	(5, 39.187071159880716)	(6, 39.206942132652465)	(7, 39.20081548326739)	(8, 39.202188395345665)	(9, 39.25411464322607)	(10, 39.294746915625545)	(15, 39.36206100532091)	(20, 39.36453209113766)	(25, 39.2660514939482)	(30, 39.23689266571812)	(35, 39.198551941222306)	(40, 39.20922369168648)	(45, 39.205009670978214)	(50, 39.182899402973334)	(55, 39.16732585441379)	(60, 39.16293880418904)	(65, 39.129573704363175)	(70, 39.094767826315866)	(75, 39.0760747021503)	(80, 39.040626318842456)	(85, 39.01902757912153)	(90, 38.97710872138828)	(95, 38.948246031005496)	(100, 38.878150738266676)	(105, 38.820580250638095)	(110, 38.78087486899868)	(115, 38.7591008967761)	(120, 38.67914105997232)	(125, 38.52156046255861)	(130, 38.486188467949525)	(135, 38.38641113975175)	(140, 38.317201261317635)	(145, 38.17269280826023)	(150, 38.050323647264214)
