Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR39146896_1	(1, 4.635558208124975e-05)	(2, 0.22751319685477372)	(3, 0.0)	(4, 0.012910029609628055)	(5, 0.0)	(6, 0.0006489781491374964)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00045892026260437247)	(15, 0.0013674896713968675)	(20, 0.00028276905069562347)	(25, 4.635558208124974e-06)	(30, 0.0010012805729549944)	(35, 0.0022908101923246453)	(40, 6.500979906631998e-05)	(45, 2.7898659050952717e-05)	(50, 0.0004841804287194229)	(55, 9.321971093499837e-06)	(60, 1.8666106932340123e-05)	(65, 0.0)	(70, 0.000350790853301557)	(75, 0.000252872289706604)	(80, 0.0012095561688349132)	(85, 0.0002347034381237244)	(90, 0.00032900025892320376)	(95, 9.412164667515048e-05)	(100, 0.0)	(105, 4.719385792704377e-05)	(110, 0.0)	(115, 0.013130330438284085)	(120, 0.0003130923107611962)	(125, 0.00015211723180674343)	(130, 0.00013819820892261962)	(135, 1.911842732963892e-05)	(140, 0.00018230270577513863)	(145, 3.371774777005267e-05)	(150, 0.0)
SRR39146896_2	(1, 0.007764559998609332)	(2, 0.11924973490401497)	(3, 0.004287891342515601)	(4, 0.000741689313299996)	(5, 0.00013906674624374922)	(6, 0.000741689313299996)	(7, 0.0012284229251531182)	(8, 0.0005794447760156219)	(9, 0.000185422328324999)	(10, 0.003138272906900608)	(15, 0.0010476361550362443)	(20, 8.344004774624954e-05)	(25, 0.0009781027819143696)	(30, 0.00011125339699499939)	(35, 0.008613865326645473)	(40, 0.00044631448145905037)	(45, 0.0016629408872027198)	(50, 0.0025617686039812308)	(55, 0.0010983494331885959)	(60, 0.0004868437954192493)	(65, 0.0003094504478873255)	(70, 0.0026532958089995192)	(75, 0.0010395149256469311)	(80, 0.00040518134597850914)	(85, 0.0010288504776320355)	(90, 4.255180126266324e-05)	(95, 0.00014684237035227912)	(100, 0.00023258405825195898)	(105, 0.00017126523332889948)	(110, 0.0005484767346423295)	(115, 0.0014537222582331967)	(120, 0.0001678798785892718)	(125, 2.4075799863076112e-05)	(130, 0.0001885920203331212)	(135, 9.72045147997762e-06)	(140, 0.0017063498951132635)	(145, 0.00023110893442554432)	(150, 0.0006644397271958133)
SRR39146897_1	(1, 1.99713092171786e-05)	(2, 0.23468285461106575)	(3, 0.0)	(4, 0.012202469931696125)	(5, 0.0)	(6, 0.0008188236779043226)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00048729994489915784)	(15, 0.001497848191288395)	(20, 0.0003355179948486005)	(25, 1.597704737374288e-05)	(30, 0.0009825884134851872)	(35, 0.0023854060140840443)	(40, 8.802039256454935e-05)	(45, 3.205060148963183e-05)	(50, 0.0005455447864390723)	(55, 0.0)	(60, 0.0)	(65, 4.025189312703755e-06)	(70, 0.00037477939396801836)	(75, 0.0002783953020429656)	(80, 0.001369355543714737)	(85, 0.0002224352747726772)	(90, 0.00031584889675397634)	(95, 0.0001094715871360992)	(100, 0.0)	(105, 3.659236749080403e-05)	(110, 0.0)	(115, 0.013783801059977972)	(120, 0.00033510412706886955)	(125, 0.000167900902102881)	(130, 0.00011494190589771845)	(135, 0.0)	(140, 0.00019831615536699087)	(145, 4.147553186251973e-05)	(150, 0.0)
SRR39146897_2	(1, 0.009166830930684978)	(2, 0.12102613385610232)	(3, 0.005172569087249258)	(4, 0.0006191105857325366)	(5, 5.99139276515358e-05)	(6, 0.0008387949871215013)	(7, 0.0011183933161620018)	(8, 0.00043936880277792924)	(9, 0.0001198278553030716)	(10, 0.003550898778814355)	(15, 0.0010345138174498514)	(20, 4.393688027779293e-05)	(25, 0.0011583359345963588)	(30, 0.00011183933161620017)	(35, 0.009364241164340875)	(40, 0.0004605878574942771)	(45, 0.0015127099130769598)	(50, 0.0029219423400698775)	(55, 0.0012116458244128762)	(60, 0.0003749189540115945)	(65, 0.000250323987877536)	(70, 0.0029800544189476147)	(75, 0.0011663017991379652)	(80, 0.00043804203646067224)	(85, 0.0010521786781393955)	(90, 6.510742521700101e-05)	(95, 0.0001630559555861666)	(100, 0.00025730924695508203)	(105, 0.00021284134020625308)	(110, 0.0005497724372901454)	(115, 0.0015176601973624546)	(120, 0.00017735273979255586)	(125, 2.8974967077193656e-05)	(130, 0.00012052034200514596)	(135, 4.175638722401533e-06)	(140, 0.001729980452060688)	(145, 0.00018153573064353106)	(150, 0.0006338828111265872)
SRR39146898_1	(1, 0.0)	(2, 0.23205636714900132)	(3, 0.0)	(4, 0.012677484787018255)	(5, 0.0)	(6, 0.000791165469620753)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00044455964483451827)	(15, 0.0015898658484759893)	(20, 0.00024111709550346755)	(25, 0.0)	(30, 0.0010322825651242205)	(35, 0.0023630313357929714)	(40, 6.792614058650675e-05)	(45, 4.912186170344415e-05)	(50, 0.0005561213238819947)	(55, 0.0)	(60, 1.8958634080465296e-05)	(65, 7.591783716155353e-06)	(70, 0.00035342532221748624)	(75, 0.0002739448538355818)	(80, 0.0013674792261240793)	(85, 0.00017161646694323614)	(90, 0.00032455854310633835)	(95, 0.00010322342281682651)	(100, 3.827991059190963e-06)	(105, 2.6833596168407805e-05)	(110, 0.0)	(115, 0.014217569500917546)	(120, 0.00030435657152261925)	(125, 0.00015054921511745733)	(130, 0.00010059933991356196)	(135, 0.0)	(140, 0.0002180319169915115)	(145, 4.298347519833943e-05)	(150, 0.0)
SRR39146898_2	(1, 0.008646308346569657)	(2, 0.12001226683223375)	(3, 0.005255599191052144)	(4, 0.0006216300118448774)	(5, 9.418636543104202e-05)	(6, 0.0007158163772759194)	(7, 0.0012432600236897547)	(8, 0.0004332572809827933)	(9, 0.0001506981846896672)	(10, 0.0034057789739864795)	(15, 0.0008665145619655866)	(20, 4.8976910024141844e-05)	(25, 0.0012055854775173376)	(30, 7.911654696207529e-05)	(35, 0.00870396393746822)	(40, 0.00042679421644736495)	(45, 0.0015511747102831268)	(50, 0.0028532222882964005)	(55, 0.0011687053048482412)	(60, 0.00045977378369885344)	(65, 0.0003196276003607835)	(70, 0.0029072896573075183)	(75, 0.0010760446476108317)	(80, 0.00038595794800909514)	(85, 0.0009759142077264392)	(90, 2.683250586357334e-05)	(95, 0.00010750926077093049)	(100, 0.000265417241288583)	(105, 0.00016574080512411982)	(110, 0.0005601474122560949)	(115, 0.001490762615297904)	(120, 0.00016306375994902474)	(125, 1.9478177292940842e-05)	(130, 0.00013686009011963215)	(135, 7.855253444253701e-06)	(140, 0.0015871216057311989)	(145, 0.00022218690155842688)	(150, 0.0005757791930474464)
SRR39146899_1	(1, 0.0)	(2, 0.22736099386810815)	(3, 0.0)	(4, 0.01247195529537671)	(5, 0.0)	(6, 0.0009399819248353771)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004401866574838839)	(15, 0.0014993858020544795)	(20, 0.00026136082788105606)	(25, 1.3755833046371373e-05)	(30, 0.0009537377578817484)	(35, 0.0023851701130845845)	(40, 0.00010563497851545287)	(45, 5.97832452672479e-05)	(50, 0.00048804386906630163)	(55, 0.0)	(60, 3.6917036160052335e-05)	(65, 0.0)	(70, 0.00040698723077563437)	(75, 0.0002824415749923822)	(80, 0.0013906405809688428)	(85, 0.00016243492740783093)	(90, 0.0003856667823202355)	(95, 0.00014887440020481396)	(100, 0.0)	(105, 9.33000314421106e-06)	(110, 0.0)	(115, 0.013796795202908595)	(120, 0.0003188206785591781)	(125, 0.00015973406720801481)	(130, 0.00012715100052532202)	(135, 1.4168850283284908e-05)	(140, 0.00027491543151034225)	(145, 3.3305250663167015e-05)	(150, 0.0)
SRR39146899_2	(1, 0.008620322042392726)	(2, 0.1203635391557495)	(3, 0.004676983235766267)	(4, 0.0007336444291398066)	(5, 9.170555364247582e-05)	(6, 0.0009399819248353771)	(7, 0.0012609513625840424)	(8, 0.00034389582615928425)	(9, 0.00016048471887433266)	(10, 0.0036131988135135466)	(15, 0.000985834701656615)	(20, 7.794972059610444e-05)	(25, 0.0011233930321203288)	(30, 0.00015131416351008508)	(35, 0.00867130708530208)	(40, 0.0005517034395399235)	(45, 0.0015890060311299636)	(50, 0.0029108427323338024)	(55, 0.0011826777441068807)	(60, 0.0004996691542479604)	(65, 0.0002779913291724518)	(70, 0.002839651294532994)	(75, 0.0010455500136757941)	(80, 0.0003955960939679414)	(85, 0.0010488068563440857)	(90, 7.937539594315153e-05)	(95, 0.00016370482541956143)	(100, 0.00022962596741654386)	(105, 0.00018784767375780678)	(110, 0.0005413077854886679)	(115, 0.0014439036359475382)	(120, 0.0001750827112021562)	(125, 2.8493712648601243e-05)	(130, 0.00014780487353671982)	(135, 1.437104062860848e-05)	(140, 0.0018160325325127628)	(145, 0.00016464303428976893)	(150, 0.00046041564385735257)
SRR39146900_1	(1, 0.0)	(2, 0.22992963923051435)	(3, 0.0)	(4, 0.012512912468084277)	(5, 0.0)	(6, 0.0006431870894809675)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004404857037051474)	(15, 0.001683980743368351)	(20, 0.00023778431792932737)	(25, 1.1694310717835772e-05)	(30, 0.0011538386574931295)	(35, 0.002405941529147806)	(40, 0.00011322823618597947)	(45, 3.518564375692913e-05)	(50, 0.0006575905342660837)	(55, 3.918592955529769e-06)	(60, 7.845841147137296e-06)	(65, 3.927175864551075e-06)	(70, 0.0003774255340404217)	(75, 0.0003148765677950308)	(80, 0.0013791288704906968)	(85, 0.00025642286007430585)	(90, 0.00040681234524591784)	(95, 0.00014631303991241782)	(100, 0.0)	(105, 3.1720757099928196e-05)	(110, 0.0)	(115, 0.014495093029141105)	(120, 0.00033472956739989045)	(125, 0.0001277693558695585)	(130, 0.00012806545169105027)	(135, 4.0132849363276296e-06)	(140, 0.00023357030248642835)	(145, 3.2336932730368104e-05)	(150, 0.0)
SRR39146900_2	(1, 0.009121562359911902)	(2, 0.11928196932192489)	(3, 0.004677724287134309)	(4, 0.0007406396787962657)	(5, 0.0001754146607675366)	(6, 0.000565225018028729)	(7, 0.0012473931432358159)	(8, 0.0004287913929873117)	(9, 0.0002533767322197751)	(10, 0.0034420254546163294)	(15, 0.0010602841717504434)	(20, 6.236965716179079e-05)	(25, 0.001138246243202682)	(30, 0.0001286374178961935)	(35, 0.00923146332304911)	(40, 0.0004532150233747602)	(45, 0.0017217451640287053)	(50, 0.0029076301544602107)	(55, 0.001228125727115172)	(60, 0.0004675301490156094)	(65, 0.0002714468589664405)	(70, 0.002875560965811904)	(75, 0.001112316690603827)	(80, 0.0004502707726990087)	(85, 0.0009492476065710401)	(90, 3.9609609275366365e-05)	(95, 0.00014677937683109753)	(100, 0.00023444896069967837)	(105, 0.000159246750132135)	(110, 0.0005585110542103595)	(115, 0.00133934329319648)	(120, 0.00016032053847179898)	(125, 2.010457919587795e-05)	(130, 0.0001291296884972242)	(135, 1.2157255066870375e-05)	(140, 0.0017187243985920633)	(145, 0.00015551102847382377)	(150, 0.0004096282296113693)
